Voter Registration,Registration Date,Name,Street #,Apt #,Street Name,City,Zip Code,County,Race,Gender,Status,Year of Birth
00648538,1981-8-3,"WICKER, ALESHA",882,536,BRENDA KAYE YAWN RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,1981
12182599,1983-3-21,"SMITH, SAUL",894,882,JONES ST,BAXLEY,31555,APPLING,White not of Hispanic Origin,M,Active,1983
12412164,1972-2-12,"GRIFFIN, REGGIE",746,349,BLACKSHEAR HWY,BAXLEY,31513,APPLING,Unknown,M,Cancelled,1972
00649325,2019-10-19,"WILLIAMS, COLTER",763,327,HATCH PKWY N,BAXLEY,31513 - 5375,APPLING,White not of Hispanic Origin,M,Inactive,2019
10478319,1988-4-28,"SHIPLEY, KAY",646,979,BLACKSHEAR HWY,BAXLEY,31513 - 9701,APPLING,White not of Hispanic Origin,Unknown,Active,1988
648118,2008-4-6,"HARDEN, MELANY",268,213,GARDNER RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,2008
00649351,1995-6-6,"TROXELL, CORDIE",21,572,SYCAMORE LN,BAXLEY,31563 - 3524,APPLING,White not of Hispanic Origin,F,Active,1995
00651124,2000-1-18,"PAULK, ROSALIA",779,318,SMART RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Cancelled,2000
11854739,2000-10-25,"BROWN, JUDIE",177,548,ASH ST,BAXLEY,31513 - 7880,APPLING,White not of Hispanic Origin,F,Active,2000
04268259,2004-10-2,"KING, ZURI",180,779,BUCK HEAD RD,BAXLEY,31513 - 0762,APPLING,Black not of Hispanic Origin,F,Cancelled,2004
05070230,2001-11-12,"SELLERS, ELLERY",529,68,LUCERNE ST,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2001
00650208,2021-7-14,"DAVIS, BURL",227,926,LEWIS SEAD RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Cancelled,2021
12934536,1980-11-20,"LEWIS, LELA",194,,PINEY BLUFF RD,BAXLEY,31513 - 8397,APPLING,Black not of Hispanic Origin,F,Cancelled,1980
7595897,1994-9-11,"DAVIS, ESTHER",416,,HILL TOP RD,BAXLEY,31513 - 8753,APPLING,White not of Hispanic Origin,F,Active,1994
00652237,1966-10-25,"GUERRA, CAMILLE",413,90,INDUSTRIAL PARK DR,BAXLEY,31513 - 0546,APPLING,White not of Hispanic Origin,F,Cancelled,1966
08607499,2008-5-19,"WILLIAMS, DOMINIC",631,,W TOLLISON ST,BAXLEY,31513 - 0971,APPLING,White not of Hispanic Origin,Unknown,Active,2008
11166825,1998-2-17,"WALSH, ODIS",832,,SAN MARCO DR,BAXLEY,31539 - 7669,APPLING,White not of Hispanic Origin,M,Cancelled,1998
650057,2007-9-10,"ANDERSON, RUSSELL",964,,STANFIELD RD,BAXLEY,31513 - 2308,APPLING,White not of Hispanic Origin,Unknown,Cancelled,2007
08276307,1967-8-19,"PEACOCK, ALFRED",881,181,ORVIN RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,1967
10081511,2018-10-26,"FLOYD, ABEL",893,228,IDELL ST,BAXLEY,31513 - 5209,APPLING,White not of Hispanic Origin,M,Cancelled,2018
8275324,1982-11-5,"HART, LEMUEL",200,,PITTY PAT LN,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Inactive,1982
11590559,1973-10-13,"DAVIS, GAYLORD",299,,RUSSELL RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Cancelled,1973
03529898,1967-9-5,"THOMAS, JACKIE",239,,HUNTER RD,HAZLEHURST,31513,APPLING,White not of Hispanic Origin,M,Active,1967
04957471,1978-9-1,"DYKSTRA, ALLISON",943,318,JOHN HERNDON RD,BAXLEY,31563,APPLING,White not of Hispanic Origin,F,Active,1978
08675808,2017-5-5,"BRANCH, LACIE",507,566,DOC MCTIER RD,BAXLEY,31513 - 0944,APPLING,Black not of Hispanic Origin,F,Cancelled,2017
00004137,1977-2-3,"CORRELL, VAN",950,729,MILES BELL CIR,BAXLEY,31513 - 6216,APPLING,White not of Hispanic Origin,M,Active,1977
6730609,1968-10-19,"NAIL, HOLMES",544,346,GOLDEN ISLE E,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1968
3374009,1968-2-12,"AUSTIN, ELISABETH",495,128,DYAL SCHOOL RD,BAXLEY,31513 - 7931,APPLING,White not of Hispanic Origin,F,Cancelled,1968
10260287,1970-1-27,"BAXLEY, MAY",947,611,AZALEA DR,SURRENCY,31513,APPLING,Black not of Hispanic Origin,F,Active,1970
07793456,1960-10-9,"COPELAND, EDIE",855,222,CROSBY CHAPEL CHURCH RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,F,Active,1960
00652979,1973-5-10,"PITTMAN, CLARA",657,,MAGNOLIA ST,BAXLEY,31518 - 3800,APPLING,White not of Hispanic Origin,F,Cancelled,1973
01137347,2001-10-17,"SMITH, IDA",682,,MARTIN LUTHER KING DR,BAXLEY,31513 - 1067,APPLING,White not of Hispanic Origin,F,Active,2001
05505697,1991-3-18,"JONES, ARNULFO",53,61,HUNDREDS RD,BAXLEY,31513 - 0220,APPLING,White not of Hispanic Origin,M,Active,1991
10097410,1995-1-11,"BRANCH, ROCCO",173,147,CHAD CLAXTON ST,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,1995
00650055,1991-3-28,"ROBERTS, CAROLYN",887,636,CROSBY ST,SURRENCY,31513 - 6977,APPLING,White not of Hispanic Origin,F,Active,1991
02949825,2009-5-12,"BLAND, KAILEY",341,485,THOMPKINS LN,SURRENCY,31513,APPLING,Black not of Hispanic Origin,F,Cancelled,2009
10885652,2010-4-20,"PAULK, ELENA",641,,PEACH LN,BRISTOL,31539,APPLING,White not of Hispanic Origin,F,Cancelled,2010
00652920,1989-8-23,"MILLS, ANNABELL",814,81,BLACKSHEAR HWY,BAXLEY,31557 - 9537,APPLING,White not of Hispanic Origin,F,Active,1989
00654385,2011-7-23,"HENDERSON, NINA",935,,PHILLIPS ST,BAXLEY,31513 - 2721,APPLING,White not of Hispanic Origin,F,Cancelled,2011
10392065,1987-6-16,"MCLAIN, LYNETTE",393,249,ADDIE LN,BAXLEY,31563 - 2768,APPLING,White not of Hispanic Origin,F,Cancelled,1987
00652386,1977-6-1,"HERRINGTON, ZACHARY",149,89,HUTCHESON RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1977
00650644,1995-11-16,"POTTS, RENE",530,44,WADE CARTER LN,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1995
00651002,2006-6-17,"REED, WARD",583,834,GOLDEN ISLE W,BAXLEY,31513 - 7606,APPLING,White not of Hispanic Origin,M,Active,2006
02500421,1976-12-11,"POWELL, RODOLFO",347,66,GARDNER RD,BAXLEY,31513 - 6631,APPLING,White not of Hispanic Origin,M,Active,1976
03714377,2008-9-11,"LASHLEY, BERTRAND",656,94,HATCH PKWY N,BAXLEY,31513,APPLING,Hispanic,M,Cancelled,2008
06584330,2002-2-18,"HUNTER, ADALYN",274,,E ALLEN ST,BAXLEY,31513,APPLING,White not of Hispanic Origin,Unknown,Active,2002
00647478,1961-3-9,"HATCHETT, GEORGIA",454,374,PINEY GROVE CHURCH RD,SURRENCY,31513 - 1102,APPLING,White not of Hispanic Origin,F,Cancelled,1961
00647714,2007-2-2,"SMITH, GINGER",606,114,SATILLA CHURCH RD,BRISTOL,31513 - 0633,APPLING,White not of Hispanic Origin,F,Active,2007
04944018,1964-1-27,"GARCIA, TAYLER",589,757,ALTAMAHA SCHOOL RD,BAXLEY,31513 - 7317,APPLING,White not of Hispanic Origin,F,Active,1964
00648723,1994-3-23,"BRANCH, STANFORD",406,863,JOEY LN,BAXLEY,31513 - 1555,APPLING,Black not of Hispanic Origin,M,Cancelled,1994
652255,1988-10-15,"MITCHELL, MELVINA",326,695,BLACKSHEAR HWY,BAXLEY,31563 - 2001,APPLING,White not of Hispanic Origin,F,Cancelled,1988
00648807,2003-7-20,"TARPLEY, MATHIAS",674,,TEN MILE RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2003
